Year,Group,Club,Value
2020,1,Flamengo,151.20 Mio. €
2020,1,Independiente del valle,16.95 Mio. €
2020,1,Junior FC,24.58 Mio. €
2020,1,Barcelona SC,18.05 Mio. €
2020,2,Bolivar,7.33 Mio. €
2020,2,Palmeiras,124.70 Mio. €
2020,2,CA Tigre,4.58 Mio. €
2020,2,Guarani,7.40 Mio. €
2020,3,Atletico Paranaense,34.65 Mio. €
2020,3,Colo colo,17.73 Mio. €
2020,3,Wilstermann,5.53 Mio. €
2020,3,Penarol,18.83 Mio. €
2020,4,Deportivo binacional,7.90 Mio. €
2020,4,LDU de Quito,26.05 Mio. €
2020,4,River Plate,138.60 Mio. €
2020,4,Sao paulo,89.75 Mio. €
2020,5,America de cali,20.40 Mio. €
2020,5,Gremio,121.50 Mio. €
2020,5,Universidad Catolica,15.65 Mio. €
2020,5,Internacional,58.55 Mio. €
2020,6,Alianza Lima,10.60 Mio. €
2020,6,Estudiantes de merida,5.08 Mio. €
2020,6,Nacional,11.63 Mio. €
2020,6,Racing club,69.00 Mio. €
2020,7,Defensa y justicia,22.80 Mio. €
2020,7,Delfin,16.38 Mio. €
2020,7,Olimpia,22.50 Mio. €
2020,7,Santos fc,61.90 Mio. €
2020,8,Boca Juniors,111.05 Mio. €
2020,8,Caracas FC,6.88 Mio. €
2020,8,Libertad,22.90 Mio. €
2020,8,Independiente medellin,14.28 Mio. €
