Grupo,Club,Value.x
8,Palmeiras,89.05
8,Boca Juniors,87.75
4,Flamengo,87.5
1,Grêmio,79.55
4,River Plate,75.15
6,Santos,59.8
7,Corinthians,59.45
5,Cruzeiro,56.7
5,Racing Club,49.2
5,Vasco da gama,42.7
2,At. Nacional,25.63
6,Estudiantes,27.45
8,Junior FC,26.23
4,Independiente santa fe,23.2
7,Independiente,43
4,Emelec,21.65
6,Nacional,20.85
5,Universidad de Chile,16.6
3,Atlético Tucumán,16.43
3,Peñarol,15.98
7,Millonarios,14.93
2,Colo Colo,15.13
2,Delfín,11.7
1,Defensor Sporting,10.78
1,Cerro Porteño,10.68
6,Real Garcilaso,7.63
8,Alianza Lima,7.18
3,Libertad,6.6
2,Bolívar,6.95
1,Monagas,6.45
7,Deportivo Lara,6.25
3,The Strongest,3.08
