Nº,,GRUPO 1,PTS.,PJ,PG,PE,PP,GF,GC,DF
1,,Botafogo,10,6,3,1,2,6,5,1
2,,Barcelona,10,6,3,1,2,8,8,0
3,,Estudiantes,9,6,3,0,3,7,8,-1
4,,At. Nacional,6,6,2,0,4,8,8,0
Nº,,GRUPO 2,PTS.,PJ,PG,PE,PP,GF,GC,DF
1,,Santos,12,6,3,3,0,11,4,7
2,,The Strongest,9,6,2,3,1,9,5,4
3,,Santa Fe,8,6,2,2,2,8,6,2
4,,Sporting Cristal,2,6,0,2,4,2,15,-13
Nº,,GRUPO 3,PTS.,PJ,PG,PE,PP,GF,GC,DF
1,,River Plate,13,6,4,1,1,14,9,5
2,,Emelec,10,6,3,1,2,8,5,3
3,,Indep. Medellín,9,6,3,0,3,8,8,0
4,,Melgar,3,6,1,0,5,6,14,-8
Nº,,GRUPO 4,PTS.,PJ,PG,PE,PP,GF,GC,DF
1,,San Lorenzo,10,6,3,1,2,8,8,0
2,,Atlético Paranaense,10,6,3,1,2,9,10,-1
3,,Flamengo,9,6,3,0,3,11,7,4
4,,U. Católica,5,6,1,2,3,8,11,-3
Nº,,GRUPO 5,PTS.,PJ,PG,PE,PP,GF,GC,DF
1,,Palmeiras,13,6,4,1,1,13,9,4
2,,Wilstermann,9,6,3,0,3,12,10,2
3,,Atlético Tucumán,7,6,2,1,3,8,10,-2
4,,Peñarol,6,6,2,0,4,11,15,-4
Nº,,GRUPO 6,PTS.,PJ,PG,PE,PP,GF,GC,DF
1,,Atlético Mineiro,13,6,4,1,1,17,6,11
2,,Godoy Cruz,11,6,3,2,1,10,8,2
3,,Libertad,6,6,1,3,2,7,9,-2
4,,Sport Boys,2,6,0,2,4,8,19,-11
Nº,,GRUPO 7,PTS.,PJ,PG,PE,PP,GF,GC,DF
1,,Lanús,13,6,4,1,1,13,3,10
2,,Nacional,8,6,2,2,2,5,3,2
3,,Chapecoense,7,6,2,1,3,6,12,-6
4,,Zulia,5,6,1,2,3,4,10,-6
Nº,,GRUPO 8,PTS.,PJ,PG,PE,PP,GF,GC,DF
1,,Gremio,13,6,4,1,1,15,6,9
2,,Guaraní,11,6,3,2,1,9,7,2
3,,Deportes Iquique,10,6,3,1,2,12,9,3
4,,Zamora,0,6,0,0,6,6,20,-14
